t,p
92.752902,1089.608688
93.755444,1090.763245
94.757775,1090.819092
95.759457,1090.836258
96.761381,1090.836258
97.763603,1090.827179
98.766044,1090.815506
99.768408,1090.796432
100.770937,1090.765991
101.773419,1090.762634
102.775862,1090.762634
103.778163,1090.767593
104.779532,1090.771332
105.781801,1090.773315
106.784215,1090.777054
107.786488,1090.779419
108.788968,1090.781326
109.791237,1090.784607
110.793706,1090.788116
111.79605,1090.788193
112.798561,1090.790558
113.799534,1090.790939
114.801797,1090.794373
115.804061,1090.795975
116.806449,1090.797882
117.808735,1090.801163
118.811292,1090.804596
119.813728,1090.804825
120.816005,1090.806503
121.818443,1090.810852
122.819464,1090.812225
123.821533,1090.813904
124.823804,1090.815659
125.826224,1090.815659
126.828561,1090.815506
127.830949,1090.814438
128.833419,1090.813828
129.835775,1090.813828
130.83809,1090.815353
131.839347,1090.815506
132.841218,1090.815659
133.843484,1090.816956
134.84622,1090.818939
135.848581,1090.827484
136.850912,1090.838394
137.853195,1090.849991
138.85562,1090.851517
139.858232,1090.851517
140.859447,1090.848083
141.861482,1090.840454
142.863809,1090.833588
143.866164,1090.833588
144.868517,1090.834351
145.871078,1090.835495
146.873719,1090.835876
147.876051,1090.837021
148.878387,1090.838852
149.880165,1091.126938
150.882382,1093.482742
151.884798,1098.14537
152.887092,1106.794891
153.889431,1116.269913
154.891763,1125.59227
155.894028,1133.049088
156.896564,1138.342896
157.898894,1139.555206
158.900182,1139.643173
159.902565,1139.643173
160.904908,1139.642944
161.907346,1139.642944
162.909821,1139.643478
163.912358,1139.646149
164.914699,1139.646149
165.91707,1139.635544
166.919275,1139.617462
167.920898,1139.60144
168.923021,1139.584885
169.925512,1139.566116
170.927819,1139.560394
171.930219,1139.560394
172.932596,1139.561996
173.934901,1139.562073
174.937296,1139.563599
175.939112,1139.566116
176.940463,1139.568329
177.942852,1139.569626
178.945118,1139.571533
179.947551,1139.572906
180.9499,1139.575272
181.952211,1139.578629
182.954536,1139.580688
183.956964,1139.581375
184.95914,1139.584198
185.960474,1139.585037
186.963129,1139.585037
187.965063,1139.585037
188.96737,1139.586334
189.969706,1139.586716
190.972103,1139.58931
191.9745,1139.590149
192.976899,1139.592514
193.97896,1139.595566
194.980276,1139.598312
195.98261,1139.599304
196.984974,1139.601746
197.987403,1139.603043
198.989665,1139.604874
199.992162,1139.606705
200.994497,1139.607697
201.997028,1139.608536
202.999008,1139.611282
204.000361,1139.612274
205.002627,1139.614639
206.005012,1139.616165
207.007283,1139.618149
208.009719,1139.618607
209.012025,1139.619751
210.014738,1139.619904
211.016911,1139.619751
